	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	val_loss	_timestamp	_step	lr-Adam	_runtime	trainer/global_step	epoch	train_loss	max_val_accuracy	name
0	attentive_lstm	0.8637497436369017	0.9935949621517652		0.5286789724886678	0.0007793197235182551	0.26428853362829297	3	1	adam	None	2	1232	1	448	33	True	0.00023652177634332872	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694932808/version_0	1	144	2	1	0.0025437589748973366	True	128	128	64	33	1486700	5	LSTMEncoder	31		min	0.0007793197235182551	1	0.3333333333333333	0	5	loss	0.5286789724886678	4	5	0.028158318251371384	1694935029.0298977	882	0.00023652177634332872	2212.9374494552612	12935	391	0.031570009887218475	0.996999979019165	eager-sweep-253
1	attentive_lstm	0.9892841146855792	0.9941378961588264		0.6210568073321551	0.0008926132948167216	0.4586826145185497	3	1	adam	None	2	1472	1	1792	33	True	3.966329814025875e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694932780/version_0	1	80	1	1	0.11924238794014803	True	128	128	64	33	4054900	3	LSTMEncoder	31		min	0.0008926132948167216	1	0.3333333333333333	0	5	loss	0.6210568073321551	4	3	0.7630407810211182	1694956245.501649	1629	3.966329814025875e-05	23456.36613678932	20271	723	0.7663700580596924	0.9959999918937684	young-sweep-252
2	attentive_lstm	0.8465637538331847	0.981248840457504		0.20232982137395972	0.0006785946820531261	0.27891903161549697	3	1	adam	warmupinvsqrt	2	128	1	960	33	True	3.336302283209771e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694932678/version_0	1	32	2	1	0.04008695238725968	True	128	128	64	33	207000	2	LSTMEncoder	31		min	0.0006785946820531261	1	0.3333333333333333	1617	5	loss	0.20232982137395972	4	2	0.310394823551178	1694942222.1161115	1395	6.0668259045394855e-06	9535.610379457474	48979	619	0.3153733015060425	0.9940000176429749	pleasant-sweep-251
3	attentive_lstm	0.909853482832126	0.9960688720438292		0.803050333065171	8.934511361951704e-05	0.27451686412628146	3	1	adam	None	2	176	1	512	33	True	7.660760343450583e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694930736/version_0	1	192	2	1	0.17844479349139744	True	128	128	64	33	4693000	4	LSTMEncoder	31		min	8.934511361951704e-05	1	0.3333333333333333	0	5	loss	0.803050333065171	4	4	1.0640521049499512	1694932766.810921	720	7.660760343450583e-05	2023.2765860557556	18239	319	1.067805528640747	0.9950000047683716	dark-sweep-250
4	attentive_lstm	0.8574895024378282	0.9832580594283036		0.4924120746822618	0.0007677862818406413	0.36608488031459874	3	1	adam	None	2	1184	1	1728	33	True	0.0011886517467825685	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694930534/version_0	1	448	2	1	0.0442064040447872	True	128	128	64	33	2744700	4	LSTMEncoder	31		min	0.0007677862818406413	1	0.3333333333333333	0	5	loss	0.4924120746822618	4	4	0.32743027806282043	1694953056.0214558	729	0.0011886517467825685	22514.09350180626	11015	323	0.32804811000823975	0.996999979019165	earthy-sweep-249
5	attentive_lstm	0.8716672125895089	0.984103916140886		0.4275121308983219	0.0006500656479079465	0.21170535898896548	3	1	adam	None	2	1456	1	1920	33	True	5.403746776625399e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694930177/version_0	1	496	2	1	0.09551499661682786	True	128	128	64	33	250400	5	LSTMEncoder	31		min	0.0006500656479079465	1	0.3333333333333333	0	5	loss	0.4275121308983219	4	5	0.6345906257629395	1694973711.3332376	1206	5.403746776625399e-06	43525.59224462509	15007	535	0.6356354355812073	0.996999979019165	trim-sweep-248
6	attentive_lstm	0.849972671588899	0.9889243805456912		0.7661636175723155	0.0009680877751565186	0.01999141512769881	3	1	adam	reduceonplateau	2	1296	1	448	33	True	0.005606640213995623	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694929438/version_0	1	496	2	1	0.0981625131507424	True	128	128	64	33	3536000	3	LSTMEncoder	31		min	0.0009680877751565186	1	0.3333333333333333	0	5	loss	0.7661636175723155	4	3	0.6471697688102722	1694930718.5253203	621	0.0009680877751565186	1270.3518545627594	6623	275	0.6449986100196838	0.996999979019165	earnest-sweep-247
7	attentive_lstm	0.9692482504840464	0.9815908165495488		0.21191613078123325	0.00035924013825771445	0.40805093323197256	3	1	adam	reduceonplateau	2	1344	1	896	33	True	0.0009822538799407923	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694927920/version_0	1	64	2	1	0.06969265045397928	True	128	128	64	33	628200	3	LSTMEncoder	31		min	0.00035924013825771445	1	0.3333333333333333	0	5	loss	0.21191613078123325	4	3	0.483248233795166	1694938408.211139	1197	0.00035924013825771445	10480.523869037628	12235	531	0.4853428602218628	0.9980000257492064	snowy-sweep-246
8	attentive_lstm	0.927137120726351	0.9812609857916722		0.7996832383054578	0.00039280707295434207	0.2329144399510425	3	1	adam	None	2	432	1	768	33	True	5.4071577734036405e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694927685/version_0	1	288	1	1	0.03326607077232518	True	128	128	64	33	728600	5	LSTMEncoder	31		min	0.00039280707295434207	1	0.3333333333333333	0	5	loss	0.7996832383054578	4	5	0.2728375196456909	1694947772.8390155	1800	5.4071577734036405e-06	20079.170127391815	19199	799	0.2724589705467224	0.9890000224113464	youthful-sweep-245
9	attentive_lstm	0.9474394808512066	0.9988938854812692		0.8143225255739636	0.0005927542434629246	0.04718566409002256	3	1	adam	None	2	912	1	1024	33	True	0.00016515292477442976	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694927087/version_0	1	240	2	1	0.19478409236910943	True	128	128	64	33	930900	3	LSTMEncoder	31		min	0.0005927542434629246	1	0.3333333333333333	0	5	loss	0.8143225255739636	4	3	1.141732931137085	1694931587.1137042	702	0.00016515292477442976	4492.080092191696	6863	311	1.1415435075759888	0.996999979019165	polished-sweep-242
