	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	val_loss	_timestamp	train_loss	trainer/global_step	_step	lr-Adam	_runtime	max_val_accuracy	name
0	transformer	0.9628737092697284	0.9930434424687464		0.38868927289701616	0.0007360110088143736	0.35864198914225204	3	1	adam	warmupinvsqrt	2	752	1	768	50	True	2.7782942797507256e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695402338/version_0	2	192	4	2	0.15689627208195786	True	128	128	83	50	4517400	4	TransformerEncoder	33		min	0.0007360110088143736	1	0.3333333333333333	12014	5	loss	0.38868927289701616	4	4	799	1.4033504724502563	1695404852.7297416	1.2196440696716309	21599	1800	2.073322147096119e-05	2506.7345225811005	0.8240000009536743	smooth-sweep-228
1	transformer	0.9959950880707678	0.993986931983351		0.3028790335077585	0.0004082874698511561	0.25249973289770766	3	1	adam	None	2	2048	1	1920	50	True	0.00011675553769073668	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695401632/version_0	6	224	4	8	0.16789044395655547	True	128	128	83	50	4856000	1	TransformerEncoder	33		min	0.0004082874698511561	1	0.3333333333333333	0	5	loss	0.3028790335077585	4	1	799	1.1539901494979858	1695406041.492253	1.0898512601852417	15999	1800	0.00011675553769073668	4400.591629981995	0.968999981880188	elated-sweep-227
2	transformer	0.9299386975376862	0.988421086698417		0.8120955101179331	0.000648527621516977	0.36115780407623527	3	1	adam	None	2	1872	1	1664	50	True	5.815991335174665e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695401619/version_0	2	80	8	8	0.1354831657536678	True	128	128	83	50	1494000	1	TransformerEncoder	33		min	0.000648527621516977	1	0.3333333333333333	0	5	loss	0.8120955101179331	4	1	203	3.4894585609436035	1695402324.4396288	2.4753777980804443	4487	459	5.815991335174665e-06	699.7607679367065	0.0	fancy-sweep-226
3	transformer	0.816615484445261	0.9935095925390792		0.20368171027795257	0.0006389257959856382	0.027833098849680493	3	1	adam	None	2	1984	1	640	50	True	3.446868010657469e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695401191/version_0	2	64	4	2	0.1379440377436054	True	128	128	83	50	4754200	3	TransformerEncoder	33		min	0.0006389257959856382	1	0.3333333333333333	0	5	loss	0.20368171027795257	4	3	203	3.3262460231781006	1695401607.7487578	2.4840753078460693	4283	459	3.446868010657469e-06	410.205335855484	0.0	leafy-sweep-225
4	transformer	0.8844662213409596	0.994248782024286		0.3072893158223513	0.00039254067849352615	0.29805908449289065	3	1	adam	warmupinvsqrt	2	848	1	1600	50	True	0.0002512301008798737	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695400916/version_0	4	176	8	4	0.10781144932621266	True	128	128	83	50	4125400	1	TransformerEncoder	33		min	0.00039254067849352615	1	0.3333333333333333	9729	5	loss	0.3072893158223513	4	1	799	0.8109415769577026	1695404542.194301	0.7529007792472839	19199	1800	0.00017894796498809398	3619.0464220047	0.9739999771118164	azure-sweep-224
5	transformer	0.8071384503646138	0.9900896852368526		0.13000395398147246	0.0008745673814002855	0.20539024592847727	3	1	adam	None	2	1488	1	1024	50	True	1.0650525991675017e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695399425/version_0	8	480	8	8	0.015346800681747054	True	128	128	83	50	4018400	4	TransformerEncoder	33		min	0.0008745673814002855	1	0.3333333333333333	0	5	loss	0.13000395398147246	4	4	799	0.6494569182395935	1695425116.7363954	0.3341435194015503	16799	1800	1.0650525991675017e-06	25684.66603732109	0.7409999966621399	denim-sweep-223
6	transformer	0.8335107616903761	0.9835435238597904		0.6933633440755361	0.000984337648186007	0.08653192997464998	3	1	adam	None	2	1472	1	1472	50	True	5.116923666441209e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695398282/version_0	4	208	4	2	0.05853014374244869	True	128	128	83	50	744200	4	TransformerEncoder	33		min	0.000984337648186007	1	0.3333333333333333	0	5	loss	0.6933633440755361	4	4	799	0.6685721278190613	1695404035.3549478	0.48393306136131287	22399	1800	5.116923666441209e-06	5747.770318746567	0.9100000262260436	pleasant-sweep-222
7	transformer	0.9499461037977424	0.9895651199575006		0.682532697849531	0.0004327242388423738	0.3477082631344818	3	1	adam	reduceonplateau	2	1312	1	1152	50	True	3.7667876561802497e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695390616/version_0	2	448	6	2	0.07577309561460746	True	128	128	83	50	2974500	3	TransformerEncoder	33		min	0.0004327242388423738	1	0.3333333333333333	0	5	loss	0.682532697849531	4	3	799	1.0242042541503906	1695396257.0821333	0.7555870413780212	24799	1800	3.7667876561802497e-06	5634.484501361847	0.8349999785423279	laced-sweep-221
8	transformer	0.8254059917189449	0.9857955814119608		0.5896611103006546	0.0006367677139325508	0.266353495967124	3	1	adam	warmupinvsqrt	2	1120	1	512	50	True	4.804377007937212e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695390263/version_0	2	448	6	8	0.14795020014250893	True	128	128	83	50	3381200	1	TransformerEncoder	33		min	0.0006367677139325508	1	0.3333333333333333	12075	5	loss	0.5896611103006546	4	1	799	1.0627355575561523	1695394284.2328775	0.9820421934127808	28799	1800	3.11283434533513e-05	4013.4618628025055	0.9700000286102296	dulcet-sweep-220
9	transformer	0.8381124933396155	0.9801386319848152		0.34361290182259935	0.00017021472538379125	0.2786276917568303	3	1	adam	None	2	672	1	1344	50	True	3.091656011581738e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695390111/version_0	2	288	8	2	0.1626803478073675	True	128	128	83	50	1264700	1	TransformerEncoder	33		min	0.00017021472538379125	1	0.3333333333333333	0	5	loss	0.34361290182259935	4	1	799	1.4954886436462402	1695397894.9575484	1.2680786848068235	23999	1800	3.091656011581738e-06	7777.264594316483	0.7860000133514404	worldly-sweep-219
10	transformer	0.9596071909876646	0.9945938687222842		0.8193818458526159	0.0005412533042069878	0.30896517307028265	3	1	adam	None	2	160	1	256	50	True	0.004136368884752512	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695389711/version_0	8	320	4	2	0.10916463792449888	True	128	128	83	50	619400	2	TransformerEncoder	33		min	0.0005412533042069878	1	0.3333333333333333	0	5	loss	0.8193818458526159	4	2	203	4.620464324951172	1695391911.8582127	2.578772783279419	12851	459	0.004136368884752512	2193.466394662857	0.0	classic-sweep-218
