	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	val_loss	_timestamp	train_loss	trainer/global_step	_step	lr-Adam	_runtime	max_val_accuracy	name
0	transformer	0.8386148899485465	0.9957311399332488		0.5749929276080455	0.000997486928059068	0.33823102626105156	3	1	adam	warmupinvsqrt	2	1184	1	1728	55	True	0.002079314052308419	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697337974/version_0	8	112	6	8	0.1405512785387476	True	128	128	55	55	2426300	1	TransformerEncoder	0		min	0.000997486928059068	1	0.3333333333333333	16393	5	loss	0.5749929276080455	4	1	619	1.1946778297424316	1697342941.114257	0.9670552611351012	34099	1395	0.0014428548339149728	4955.767510175705	0.8999999761581421	fluent-sweep-226
1	transformer	0.9197245918239384	0.98558458895549		0.7186844783344211	0.00017859626967800074	0.17838761961375432	3	1	adam	None	2	1536	1	576	55	True	0.00013434915989836394	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697337234/version_0	6	80	4	4	0.01116770572915633	True	128	128	55	55	4414300	4	TransformerEncoder	0		min	0.00017859626967800074	1	0.3333333333333333	0	5	loss	0.7186844783344211	4	4	607	0.5182111263275146	1697339401.1671178	0.12426501512527466	19455	1368	0.00013434915989836394	2159.977912902832	0.878000020980835	resilient-sweep-225
2	transformer	0.979481037150173	0.9949060702231026		0.7219039764754313	0.0005820482556632034	0.4592780465603196	3	1	adam	warmupinvsqrt	2	144	1	448	55	True	0.007054165110321742	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697335721/version_0	2	160	4	2	0.04388257246348659	True	128	128	55	55	247300	2	TransformerEncoder	0		min	0.0005820482556632034	1	0.3333333333333333	1717	5	loss	0.7219039764754313	4	2	799	0.9345524907112122	1697337819.796415	0.5332004427909851	44799	1800	0.0013818578340847802	2091.689567089081	0.8119999766349792	bright-sweep-224
3	transformer	0.8573476963797083	0.9899491403580356		0.22335665464184765	5.973060658230941e-05	0.1986562367739298	3	1	adam	None	2	976	1	256	55	True	0.0027535938966384388	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697335371/version_0	2	208	8	2	0.09452499873879752	True	128	128	55	55	1105200	4	TransformerEncoder	0		min	5.973060658230941e-05	1	0.3333333333333333	0	5	loss	0.22335665464184765	4	4	715	1.063363790512085	1697338280.3283124	0.7751644849777222	23627	1611	0.0027535938966384388	2903.0850763320923	0.8320000171661377	proud-sweep-223
4	transformer	0.8666043580866459	0.9957822015761932		0.5969410162618684	0.00045848385714834246	0.08688017117962887	3	1	adam	warmupinvsqrt	2	848	1	384	55	True	0.0014077287926294152	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697335308/version_0	8	448	4	4	0.11061157043002023	True	128	128	55	55	1387500	1	TransformerEncoder	0		min	0.00045848385714834246	1	0.3333333333333333	6544	5	loss	0.5969410162618684	4	1	259	3.798250913619995	1697338595.1751964	1.8596985340118408	9879	585	0.001147886526775367	3279.632143497467	0.8569999933242798	cerulean-sweep-221
5	transformer	0.9270637250879216	0.9957337594743892		0.5192286823201925	0.0006373982861517645	0.2790064005538496	3	1	adam	None	2	992	1	832	55	True	1.7890810172621993e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697335293/version_0	8	176	2	4	0.11785078425911664	True	128	128	55	55	4009700	1	TransformerEncoder	0		min	0.0006373982861517645	1	0.3333333333333333	0	5	loss	0.5192286823201925	4	1	799	1.0511114597320557	1697340511.9317682	0.8799332976341248	26399	1800	1.7890810172621993e-05	5210.540212154388	0.859000027179718	glamorous-sweep-220
6	transformer	0.8908461120850958	0.9846321102498472		0.6554867282497578	0.0002585935000430153	0.19930124070658967	3	1	adam	None	2	672	1	1280	55	True	0.00023423271787086685	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697335242/version_0	8	96	6	8	0.1898658784663992	True	128	128	55	55	3355900	4	TransformerEncoder	0		min	0.0002585935000430153	1	0.3333333333333333	0	5	loss	0.6554867282497578	4	4	495	1.4592878818511963	1697337511.0655675	1.23037850856781	17855	1116	0.00023423271787086685	2262.015015602112	0.8730000257492065	sweepy-sweep-219
7	transformer	0.9648243152546864	0.9880221267828512		0.449384174438192	0.00017107522711781462	0.1201593030365411	3	1	adam	reduceonplateau	2	576	1	1920	55	True	0.0003921906586586356	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697334628/version_0	6	480	8	2	0.0701651977661862	True	128	128	55	55	3542800	4	TransformerEncoder	0		min	0.00017107522711781462	1	0.3333333333333333	0	5	loss	0.449384174438192	4	4	459	0.8270546197891235	1697339344.5263731	0.5281893014907837	19319	1035	0.00017107522711781462	4709.531209230423	0.8870000243186951	wobbly-sweep-217
8	transformer	0.9455139966648458	0.9807572767566276		0.6194000711580234	0.0007084514330423314	0.2574252194939257	3	1	adam	reduceonplateau	2	1168	1	192	55	True	0.008247322709208419	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697334482/version_0	6	32	4	8	0.18848491538211443	True	128	128	55	55	1287600	3	TransformerEncoder	0		min	0.0007084514330423314	1	0.3333333333333333	0	5	loss	0.6194000711580234	4	3	799	1.4713356494903564	1697337418.8904662	1.3058618307113647	43999	1800	0.0007084514330423314	2928.79899930954	0.8560000061988831	fluent-sweep-216
9	transformer	0.9750295308646376	0.9844727611408588		0.5397500250345381	0.0006480466835294394	0.1858244938097316	3	1	adam	None	2	752	1	1728	55	True	8.004744474415427e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697334237/version_0	2	432	2	4	0.1483809009347843	True	128	128	55	55	1380200	2	TransformerEncoder	0		min	0.0006480466835294394	1	0.3333333333333333	0	5	loss	0.5397500250345381	4	2	799	1.2755149602890017	1697338136.8243997	1.0362476110458374	34399	1800	8.004744474415427e-06	3888.908408641815	0.8690000176429749	upbeat-sweep-215
10	transformer	0.937423229162763	0.9944556182153824		0.726699373605852	1.388258752774729e-05	0.09381471041108023	3	1	adam	None	2	1056	1	1152	55	True	0.000332765530042488	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697333894/version_0	6	304	4	2	0.146836413314928	True	128	128	55	55	2080700	5	TransformerEncoder	0		min	1.388258752774729e-05	1	0.3333333333333333	0	5	loss	0.726699373605852	4	5	695	1.226917386054993	1697337454.2598655	0.9899383187294006	32015	1566	0.000332765530042488	3552.4547646045685	0.8840000033378601	happy-sweep-214
11	transformer	0.9112409790683016	0.9853310397099678		0.4713673648020341	0.0005646780728693394	0.15728387403082655	3	1	adam	warmupinvsqrt	2	816	1	1152	55	True	1.580717447954392e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697333733/version_0	4	384	6	8	0.02605764831065558	True	128	128	55	55	1678200	5	TransformerEncoder	0		min	0.0005646780728693394	1	0.3333333333333333	8226	5	loss	0.4713673648020341	4	5	799	0.9743876457214355	1697341698.1516752	0.3823464214801788	31999	1800	8.019461639719102e-07	7952.910843133926	0.7099999785423279	stellar-sweep-213
12	transformer	0.9981550777883968	0.9929462887947726		0.38398421537442096	0.0003524087036041621	0.028204468174561903	3	1	adam	warmupinvsqrt	2	256	1	448	55	True	1.2820961172161616e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697333618/version_0	8	208	8	8	0.1383408969554543	True	128	128	55	55	552400	3	TransformerEncoder	0		min	0.0003524087036041621	1	0.3333333333333333	2157	5	loss	0.38398421537442096	4	3	799	1.299290895462036	1697339943.582548	0.9936121702194214	25599	1800	3.723893728262683e-06	6319.135903120041	0.8190000057220459	dry-sweep-212
