	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_step	val_loss	train_loss	epoch	lr-Adam	_runtime	_timestamp	trainer/global_step	max_val_accuracy	name
0	transformer	0.9468377092229348	0.9862297636693452		0.6689728080281798	0.00029694776917458713	0.09814929503406172	3	1	adam	warmupinvsqrt	2	784	1	896	59	True	6.3713112365324246e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694502104/version_0	6	48	4	4	0.133992228728856	True	128	128	82	59	1936300	4	TransformerEncoder	23		min	0.00029694776917458713	1	0.3333333333333333	4939	5	loss	0.6689728080281798	4	4	1800	1.5296528339385986	1.2967867851257324	799	3.106620975259356e-06	2189.0836436748505	1694504300.1288288	20799	0.5699999928474426	dark-sweep-249
1	transformer	0.9969865346479594	0.9932703729916386		0.45607941003050734	0.0006334012143000109	0.4402697815727602	3	1	adam	warmupinvsqrt	2	1232	1	1536	59	True	1.1393084383203194e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694502076/version_0	4	48	6	2	0.06976240049066622	True	128	128	82	59	170400	4	TransformerEncoder	23		min	0.0006334012143000109	1	0.3333333333333333	553	5	loss	0.45607941003050734	4	4	459	3.4202218055725098	3.4320976734161377	203	3.273398588147555e-07	808.6134216785431	1694502891.4164555	6731	0.0	kind-sweep-248
2	transformer	0.9303667582737158	0.991818841318542		0.3128815262592053	0.00024303721521640477	0.20212234283560115	3	1	adam	warmupinvsqrt	2	1664	1	832	59	True	3.9263023958363695e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694501775/version_0	2	256	4	4	0.11047427499412989	True	128	128	82	59	3368500	5	TransformerEncoder	23		min	0.00024303721521640477	1	0.3333333333333333	8097	5	loss	0.3128815262592053	4	5	1800	0.8578068017959595	0.8054177761077881	799	2.4997836354657904e-05	2361.3303763866425	1694504142.8186145	19999	0.962000012397766	still-sweep-247
3	transformer	0.8977494746802417	0.991560922821012		0.6946197276203708	3.910835559470524e-05	0.060574898661700016	3	1	adam	reduceonplateau	2	416	1	1728	59	True	0.0005308779487859048	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694501467/version_0	8	64	8	2	0.116332672543963	True	128	128	82	59	4487300	2	TransformerEncoder	23		min	3.910835559470524e-05	1	0.3333333333333333	0	5	loss	0.6946197276203708	4	2	1161	0.8600450754165649	0.8213335871696472	515	3.910835559470524e-05	3300.808239221573	1694504774.1416843	12899	0.9760000109672546	warm-sweep-246
4	transformer	0.8211430939324105	0.9923108877366944		0.5962693263021757	0.0009955570560378625	0.07491306566882394	3	1	adam	None	2	224	1	832	59	True	0.008366953906005203	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694501145/version_0	4	208	8	4	0.08995913970746415	True	128	128	82	59	3321800	5	TransformerEncoder	23		min	0.0009955570560378625	1	0.3333333333333333	0	5	loss	0.5962693263021757	4	5	702	3.6013190746307373	2.0858261585235596	311	0.008366953906005203	1851.73215007782	1694503004.875941	14039	0.003000000026077032	cool-sweep-245
5	transformer	0.9654931850509484	0.990112199214758		0.39412891291575314	0.0008348872755757957	0.3604689900540559	3	1	adam	None	2	176	1	1600	59	True	0.00010731276730552837	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694501026/version_0	6	304	6	2	0.11813700241815928	True	128	128	82	59	1085500	3	TransformerEncoder	23		min	0.0008348872755757957	1	0.3333333333333333	0	5	loss	0.39412891291575314	4	3	1737	0.9024450778961182	0.8370096683502197	771	0.00010731276730552837	6934.027400255203	1694507965.8480222	44003	0.9800000190734864	honest-sweep-244
6	transformer	0.9610163495651032	0.9952113010634094		0.5436416827878967	0.00040344916832722353	0.02301709021187387	3	1	adam	None	2	1040	1	1728	59	True	0.002861251420198491	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694500634/version_0	2	80	2	4	0.01802926059989891	True	128	128	82	59	864800	4	TransformerEncoder	23		min	0.00040344916832722353	1	0.3333333333333333	0	5	loss	0.5436416827878967	4	4	1629	0.23900991678237915	0.1632087230682373	723	0.002861251420198491	1622.3244934082031	1694502262.9085574	28235	0.9769999980926514	lilac-sweep-243
7	transformer	0.8065422702865623	0.986307425931972		0.28048246555624545	1.368648155601938e-05	0.12835498079437907	3	1	adam	warmupinvsqrt	2	608	1	1856	59	True	2.3290217457680805e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694500454/version_0	8	320	2	4	0.01068662244101748	True	128	128	82	59	3754400	3	TransformerEncoder	23		min	1.368648155601938e-05	1	0.3333333333333333	12350	5	loss	0.28048246555624545	4	3	1800	0.1720891147851944	0.1033945307135582	799	1.5939572253563533e-05	7408.650301933289	1694507870.502142	26399	0.972000002861023	atomic-sweep-242
8	transformer	0.8553642539335392	0.9824324056360966		0.5937760031759145	0.0001971838979137684	0.17055471186946763	3	1	adam	None	2	864	1	640	59	True	0.0011850372067586487	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694499375/version_0	8	416	2	4	0.15926465946743984	True	128	128	82	59	2768100	2	TransformerEncoder	23		min	0.0001971838979137684	1	0.3333333333333333	0	5	loss	0.5937760031759145	4	2	630	2.206115961074829	1.6552094221115112	279	0.0011850372067586487	2371.868536710739	1694501754.7796607	6719	0.9179999828338624	swept-sweep-241
9	transformer	0.8282423506321571	0.9951931988930836		0.8859065795572448	0.0002077123255444515	0.35008704355833314	3	1	adam	None	2	208	1	960	59	True	0.004833653500628737	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694499194/version_0	6	208	4	2	0.1455104211342103	True	128	128	82	59	4031200	2	TransformerEncoder	23		min	0.0002077123255444515	1	0.3333333333333333	0	5	loss	0.8859065795572448	4	2	459	3.5604286193847656	2.895461082458496	203	0.004833653500628737	1417.0509622097015	1694500617.5224	9995	0.0	dazzling-sweep-240
