	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_timestamp	trainer/global_step	lr-Adam	_runtime	val_loss	train_loss	_step	epoch	max_val_accuracy	name
0	attentive_lstm	0.8518484975714029	0.9844727954204868		0.6371147239634004	0.0006080448909481342	0.05632856292942279	3	1	adam	None	2	352	1	64	65	True	0.00029374184241229853	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697351746/version_0	1	272	2	1	0.12350009311586488	True	128	128	65	65	4508000	3	LSTMEncoder	0		min	0.0006080448909481342	1	0.3333333333333333	0	5	loss	0.6371147239634004	4	3	1697352751.9014575	11407	0.00029374184241229853	997.2773575782776	0.8765429854393005	0.8815528154373169	558	247	1.0	laced-sweep-271
1	attentive_lstm	0.8393717612625535	0.995436612334854		0.2450724845875108	0.0008840105070588571	0.4543250956615331	3	1	adam	warmupinvsqrt	2	240	1	1152	65	True	0.006193162331441241	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697351557/version_0	1	48	1	1	0.11881179716069462	True	128	128	65	65	3173300	3	LSTMEncoder	0		min	0.0008840105070588571	1	0.3333333333333333	13222	5	loss	0.2450724845875108	4	3	1697355875.6746435	8839	0.004124715435688365	4308.549390554428	0.8759819865226746	0.8643183708190918	585	259	1.0	tough-sweep-270
2	attentive_lstm	0.8369628017630584	0.9963364062477532		0.6346841423468674	0.000701509490101443	0.3894695390434271	3	1	adam	reduceonplateau	2	528	1	1792	65	True	1.4770647276549486e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697351232/version_0	1	432	1	1	0.1078667622428378	True	128	128	65	65	4372300	1	LSTMEncoder	0		min	0.000701509490101443	1	0.3333333333333333	0	5	loss	0.6346841423468674	4	1	1697365731.8356943	19871	1.4770647276549486e-06	14488.273153305054	0.7890729904174805	0.7900388240814209	972	431	1.0	vocal-sweep-269
3	attentive_lstm	0.914721751128078	0.983297756932787		0.40273811705246343	0.0003817265087970459	0.3168877830577386	3	1	adam	None	2	1472	1	768	65	True	0.0058670768953085406	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697351228/version_0	1	272	2	1	0.08201177615992344	True	128	128	65	65	2420300	2	LSTMEncoder	0		min	0.0003817265087970459	1	0.3333333333333333	0	5	loss	0.40273811705246343	4	2	1697352908.2270846	10383	0.0058670768953085406	1671.4439556598663	0.6385177373886108	0.6325544118881226	531	235	0.9980000257492064	bright-sweep-268
4	attentive_lstm	0.9552390839559608	0.9842063846680356		0.76094997355825	1.9076159626926736e-05	0.183050232460034	3	1	adam	reduceonplateau	2	1808	1	1088	65	True	1.2433648753506754e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697351030/version_0	1	32	2	1	0.17770867425537987	True	128	128	65	65	2764500	3	LSTMEncoder	0		min	1.9076159626926736e-05	1	0.3333333333333333	0	5	loss	0.76094997355825	4	3	1697353510.1226466	7343	1.2433648753506754e-06	2468.363416671753	3.060192108154297	2.3258872032165527	459	203	0.0	likely-sweep-267
5	attentive_lstm	0.8912295060086991	0.9803421634343594		0.12110200632231996	1.111311147322149e-05	0.3809351116486865	3	1	adam	None	2	368	1	1984	65	True	0.0003985242689785684	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697349403/version_0	1	288	2	1	0.15169291722093636	True	128	128	65	65	4787500	1	LSTMEncoder	0		min	1.111311147322149e-05	1	0.3333333333333333	0	5	loss	0.12110200632231996	4	1	1697359544.9960458	10207	0.0003985242689785684	10131.588955879211	1.042920470237732	1.0448209047317505	522	231	1.0	scarlet-sweep-266
6	attentive_lstm	0.836987883479381	0.9906464479217536		0.46097385360507315	0.0007595895203669071	0.4580027271602899	3	1	adam	None	2	272	1	256	65	True	8.982713310213747e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697349248/version_0	1	176	2	1	0.15730655634070365	True	128	128	65	65	4804100	3	LSTMEncoder	0		min	0.0007595895203669071	1	0.3333333333333333	0	5	loss	0.46097385360507315	4	3	1697351567.6287148	14395	8.982713310213747e-05	2308.0286967754364	1.079618215560913	1.09062659740448	549	243	1.0	ethereal-sweep-265
7	attentive_lstm	0.9332030165328896	0.9950815162848424		0.8758308565064494	9.382233931589332e-05	0.23099775694423108	3	1	adam	None	2	432	1	1152	65	True	3.4279595626163464e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697348040/version_0	1	96	2	1	0.1916897188040566	True	128	128	65	65	756600	4	LSTMEncoder	0		min	9.382233931589332e-05	1	0.3333333333333333	0	5	loss	0.8758308565064494	4	4	1697351209.3147182	10031	3.4279595626163464e-05	3160.7018463611603	1.270626187324524	1.273789644241333	594	263	1.0	confused-sweep-264
8	attentive_lstm	0.8291212101105442	0.9963931205972516		0.11002513085427532	0.0004196748046660433	0.076916570381458	3	1	adam	None	2	480	1	1920	65	True	0.006649085242117838	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697347510/version_0	1	480	1	1	0.16615801956330925	True	128	128	65	65	1253900	2	LSTMEncoder	0		min	0.0004196748046660433	1	0.3333333333333333	0	5	loss	0.11002513085427532	4	2	1697358286.965649	14279	0.006649085242117838	10766.042857646942	1.276341199874878	1.1385135650634766	945	419	0.9210000038146972	prime-sweep-263
9	attentive_lstm	0.9546635771044556	0.9868947955804686		0.7340043731774166	0.0007687409854923915	0.2225538327475079	3	1	adam	reduceonplateau	2	1328	1	448	65	True	2.1162995538389018e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697347331/version_0	1	512	2	1	0.05043268315540997	True	128	128	65	65	711000	5	LSTMEncoder	0		min	0.0007687409854923915	1	0.3333333333333333	0	5	loss	0.7340043731774166	4	5	1697351827.59246	31163	2.1162995538389018e-06	4485.798293828964	0.41150790452957153	0.4121096730232239	1431	635	1.0	visionary-sweep-262
