	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	trainer/global_step	_step	train_loss	lr-Adam	_runtime	val_loss	_timestamp	epoch	max_val_accuracy	name
0	transformer	0.8741019108319651	0.9855518702628354		0.4358620660716244	0.000869016247893085	0.1455078544642453	3	1	adam	warmupinvsqrt	2	336	1	1152	65	True	6.979597782362356e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697351771/version_0	2	144	8	2	0.07998521037565898	True	128	128	65	65	1214100	3	TransformerEncoder	0		min	0.000869016247893085	1	0.3333333333333333	7226	5	loss	0.4358620660716244	4	3	18623	873	0.6053483486175537	4.35314640310354e-05	2282.4421286582947	0.6101151704788208	1697354066.0970995	387	0.9990000128746032	stellar-sweep-237
1	transformer	0.918349185513579	0.9954059933568096		0.1308318773685656	0.0008437916489758834	0.027003770675605	3	1	adam	warmupinvsqrt	2	1008	1	1536	65	True	0.006610876142271852	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697351636/version_0	8	384	2	8	0.12566799916458557	True	128	128	65	65	1012400	4	TransformerEncoder	0		min	0.0008437916489758834	1	0.3333333333333333	4017	5	loss	0.1308318773685656	4	4	6655	468	1.8631068468093872	0.005148133193311138	2983.2699065208435	3.759723663330078	1697354631.0028424	207	0.9869999885559082	zany-sweep-236
2	transformer	0.9280787628030042	0.9930029097243528		0.2277733931515531	0.0005964295073684468	0.2906541296818335	3	1	adam	reduceonplateau	2	1216	1	320	65	True	1.1949398445572927e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697351589/version_0	2	256	4	8	0.050940901143756406	True	128	128	65	65	236100	1	TransformerEncoder	0		min	0.0005964295073684468	1	0.3333333333333333	0	5	loss	0.2277733931515531	4	1	42399	1800	0.6122375130653381	1.1949398445572927e-06	5046.420516014099	0.7508947849273682	1697356651.110714	799	0.8529999852180481	volcanic-sweep-235
3	transformer	0.9474572577599956	0.9859165522640256		0.6389083430541902	0.0001958529908750692	0.10670297217806209	3	1	adam	None	2	1744	1	384	65	True	4.867432027807868e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697351017/version_0	8	96	2	8	0.16391009619717548	True	128	128	65	65	1528700	3	TransformerEncoder	0		min	0.0001958529908750692	1	0.3333333333333333	0	5	loss	0.6389083430541902	4	3	21459	1305	1.114067554473877	4.867432027807868e-05	3135.923382282257	1.121833324432373	1697354164.205089	579	0.9990000128746032	honest-sweep-234
4	transformer	0.9885353371545536	0.9974846512103194		0.3622655762517678	0.0009099449547500272	0.03205494287396171	3	1	adam	None	2	736	1	1728	65	True	1.086309793560547e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697350974/version_0	4	448	2	8	0.1691571992336836	True	128	128	65	65	2198600	5	TransformerEncoder	0		min	0.0009099449547500272	1	0.3333333333333333	0	5	loss	0.3622655762517678	4	5	13023	666	1.1435141563415527	1.086309793560547e-05	1913.1515774726868	1.149757742881775	1697352894.9817774	295	0.9990000128746032	sunny-sweep-233
5	transformer	0.8815673122930059	0.98530610595043		0.7004982944956354	0.00024522066563181083	0.2285379028203559	3	1	adam	warmupinvsqrt	2	1776	1	192	65	True	1.091753574725926e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697350345/version_0	4	256	6	4	0.08377615939579378	True	128	128	65	65	4739800	3	TransformerEncoder	0		min	0.00024522066563181083	1	0.3333333333333333	21350	5	loss	0.7004982944956354	4	3	7547	459	2.6496524810791016	3.840824871084979e-07	1429.586702823639	2.869577407836914	1697351788.7003307	203	0.0	dazzling-sweep-232
6	transformer	0.9650504580043746	0.9917908255252254		0.7897553870479211	0.00022639424147316448	0.08391332662982609	3	1	adam	None	2	1440	1	1792	65	True	0.003389238977044946	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697349798/version_0	4	96	8	4	0.1949031454574237	True	128	128	65	65	1292500	3	TransformerEncoder	0		min	0.00022639424147316448	1	0.3333333333333333	0	5	loss	0.7897553870479211	4	3	12239	810	1.2916547060012815	0.003389238977044946	1942.4411959648132	1.296269774436951	1697351750.318438	359	0.9980000257492064	charmed-sweep-231
7	transformer	0.9778340376936556	0.9977002788255602		0.3107385341334523	7.697080373538463e-05	0.42155737790909686	3	1	adam	warmupinvsqrt	2	1520	1	960	65	True	9.106844696806249e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697349790/version_0	6	112	2	4	0.11123019279987752	True	128	128	65	65	1907100	2	TransformerEncoder	0		min	7.697080373538463e-05	1	0.3333333333333333	10037	5	loss	0.3107385341334523	4	2	27863	1458	0.814948320388794	5.469952113908797e-05	3882.9407036304474	0.8438851237297058	1697353686.1307416	647	0.9959999918937684	summer-sweep-230
8	transformer	0.9363580954904732	0.9907128679914023		0.7473695989248662	0.000677098829400602	0.4391638370809735	3	1	adam	None	2	912	1	256	65	True	0.0017799952842340657	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697349456/version_0	8	32	2	2	0.022069361139329	True	128	128	65	65	987400	4	TransformerEncoder	0		min	0.000677098829400602	1	0.3333333333333333	0	5	loss	0.7473695989248662	4	4	28799	1800	0.3330940008163452	0.0017799952842340657	2393.215251684189	0.3153635859489441	1697351856.3309736	799	0.9449999928474426	radiant-sweep-229
9	transformer	0.95355657143586	0.995892764827183		0.5816083438786053	0.00033236365906221156	0.24940451412561637	3	1	adam	reduceonplateau	2	656	1	832	65	True	2.400357308627626e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/transformer/1697257974/version_0	2	272	8	2	0.05069781374093987	True	128	128	65	65	2354400	1	TransformerEncoder	0		min	0.00033236365906221156	1	0.3333333333333333	0	5	loss	0.5816083438786053	4	1	39199	1800	0.4539443552494049	2.400357308627626e-06	3508.3336811065674	0.47485408186912537	1697261490.967436	799	0.9850000143051147	gentle-sweep-228
