	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_timestamp	trainer/global_step	_step	lr-Adam	val_loss	train_loss	epoch	_runtime	max_val_accuracy	name
0	attentive_lstm	0.9381263599873028	0.9912036404877153		0.8540838671543888	0.0003650351556263804	0.41731547705794875	3	1	adam	None	2	1248	1	448	61	True	0.003647769134725976	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693824188/version_0	1	96	1	1	0.18242171967927567	True	128	128	100	61	3514600	1	LSTMEncoder	39		min	0.0003650351556263804	1	0.3333333333333333	0	5	loss	0.8540838671543888	4	1	1693825611.5496178	7999	720	0.003647769134725976	1.3703129291534424	1.3100106716156006	319	1416.4121787548063	0.878000020980835	frosty-sweep-264
1	attentive_lstm	0.9194268157172152	0.9897445105194664		0.35596216761284827	0.00043355968303147006	0.16839983439147305	3	1	adam	None	2	432	1	1792	61	True	0.001168031426628541	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693824184/version_0	1	416	1	1	0.029920739279396227	True	128	128	100	61	2534400	5	LSTMEncoder	39		min	0.00043355968303147006	1	0.3333333333333333	0	5	loss	0.35596216761284827	4	5	1693847289.6741066	14399	1350	0.001168031426628541	0.4055665135383606	0.25708693265914917	599	23099.703625679016	0.8889999985694885	morning-sweep-263
2	attentive_lstm	0.8950095170150817	0.9931377259690364		0.5788055991313938	0.0004939955271750299	0.018991234220682995	3	1	adam	None	2	2048	1	1216	61	True	8.753764260531377e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693824093/version_0	1	192	2	1	0.042443413464288954	True	128	128	100	61	1243900	3	LSTMEncoder	39		min	0.0004939955271750299	1	0.3333333333333333	0	5	loss	0.5788055991313938	4	3	1693831791.8202372	7279	819	8.753764260531377e-05	0.497191846370697	0.3458254933357239	363	7691.604501247406	0.875	pious-sweep-262
3	attentive_lstm	0.9765584951729922	0.9818666266105096		0.7201612442284547	0.0009411512825769824	0.038084636282097406	3	1	adam	reduceonplateau	2	208	1	320	61	True	0.0004966450151911813	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693823773/version_0	1	352	2	1	0.1388944215801359	True	128	128	100	61	2984300	3	LSTMEncoder	39		min	0.0009411512825769824	1	0.3333333333333333	0	5	loss	0.7201612442284547	4	3	1693826600.8422282	32339	1485	0.0004966450151911813	1.0656802654266355	0.9599539041519164	659	2818.4781291484833	0.9010000228881836	soft-sweep-261
4	attentive_lstm	0.8629754535561203	0.9934437040005069		0.8216215319530845	0.00033747062008350606	0.21581578993639028	3	1	adam	None	2	1952	1	832	61	True	0.0006869458007736166	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693815950/version_0	1	192	2	1	0.05673955962958713	True	128	128	100	61	2537400	1	LSTMEncoder	39		min	0.00033747062008350606	1	0.3333333333333333	0	5	loss	0.8216215319530845	4	1	1693833001.43355	10751	1152	0.0006869458007736166	0.5388040542602539	0.44606274366378784	511	17043.45663881302	0.8939999938011169	mild-sweep-260
5	attentive_lstm	0.9695030761014836	0.9852096815345288		0.6955889489365473	0.0008412961129256216	0.4956354912733313	3	1	adam	None	2	400	1	1152	61	True	0.0005327622345689929	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693813610/version_0	1	240	2	1	0.1120478114227376	True	128	128	100	61	4086200	2	LSTMEncoder	39		min	0.0008412961129256216	1	0.3333333333333333	0	5	loss	0.6955889489365473	4	2	1693824076.926865	13599	1224	0.0005327622345689929	0.9002915024757385	0.8062365651130676	543	10456.131219148636	0.8840000033378601	vague-sweep-259
6	attentive_lstm	0.9592481976084944	0.9847684650026		0.3079773664997383	0.0005277382667070787	0.4280554930646055	3	1	adam	warmupinvsqrt	2	1600	1	512	61	True	2.8588628489024e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693812393/version_0	1	256	2	1	0.17974062538495028	True	128	128	100	61	2236800	5	LSTMEncoder	39		min	0.0005277382667070787	1	0.3333333333333333	5592	5	loss	0.3079773664997383	4	5	1693813593.6943088	5099	459	2.5945509581866377e-06	3.2257213592529297	3.0545363426208496	203	1186.4402196407318	0.0	sunny-sweep-258
7	attentive_lstm	0.8838118628952153	0.9924520976799894		0.12357155831688749	0.000139584940448372	0.4119697217451037	3	1	adam	warmupinvsqrt	2	2032	1	1216	61	True	0.0007549728793912162	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693809472/version_0	1	464	2	1	0.09361283137164224	True	128	128	100	61	4159900	1	LSTMEncoder	39		min	0.000139584940448372	1	0.3333333333333333	8188	5	loss	0.12357155831688749	4	1	1693819229.9296412	8879	999	0.0007257773438387062	0.7944527864456177	0.691603422164917	443	9746.97922730446	0.8960000276565552	zesty-sweep-257
8	attentive_lstm	0.8704905327451419	0.981874422147092		0.8814176712606735	0.0005390793543771366	0.4165185296512492	3	1	adam	None	2	672	1	1152	61	True	2.319486329313081e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693808109/version_0	1	352	1	1	0.08900302056423176	True	128	128	100	61	2049200	3	LSTMEncoder	39		min	0.0005390793543771366	1	0.3333333333333333	0	5	loss	0.8814176712606735	4	3	1693822507.0121486	23999	1800	2.319486329313081e-06	1.1376289129257202	0.7433973550796509	799	14390.71002650261	0.8059999942779541	swept-sweep-256
9	attentive_lstm	0.9802669690807388	0.9911706343643086		0.550960061721982	0.00040618617788974336	0.1317973355825624	3	1	adam	None	2	288	1	1600	61	True	3.709054388059969e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693805861/version_0	1	176	1	1	0.05880593534187928	True	128	128	100	61	2303900	2	LSTMEncoder	39		min	0.00040618617788974336	1	0.3333333333333333	0	5	loss	0.550960061721982	4	2	1693842252.6645143	23519	1512	3.709054388059969e-05	0.593723475933075	0.461851954460144	671	36384.09894132614	0.8790000081062317	wobbly-sweep-255
