	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	_runtime	_timestamp	_step	lr-Adam	val_loss	train_loss	trainer/global_step	max_val_accuracy	name
0	transformer	0.8802224750833757	0.9902335839270732		0.26096278281287894	0.0009925069460160762	0.297630733140958	3	1	adam	reduceonplateau	2	1056	1	1216	61	True	0.0036035469204958462	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693823725/version_0	2	16	4	4	0.017560302984161846	True	128	128	100	61	4929700	4	TransformerEncoder	39		min	0.0009925069460160762	1	0.3333333333333333	0	5	loss	0.26096278281287894	4	4	799	1478.1277964115145	1693825210.7951643	1800	0.0009925069460160762	1.070906639099121	1.101056694984436	23199	0.4000000059604645	devoted-sweep-222
1	transformer	0.936329557050127	0.9883790792647844		0.6291494833068833	0.00032707725915076606	0.05194941571983824	3	1	adam	reduceonplateau	2	240	1	512	61	True	0.00011556614817004553	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693822925/version_0	2	496	4	4	0.08340468384194469	True	128	128	100	61	1376500	1	TransformerEncoder	39		min	0.00032707725915076606	1	0.3333333333333333	0	5	loss	0.6291494833068833	4	1	591	2307.0740706920624	1693825239.2369957	1332	0.00011556614817004553	0.7665657997131348	0.6214560866355896	24863	0.8629999756813049	ethereal-sweep-221
2	transformer	0.9861587865508804	0.9918632014062386		0.7005452523300195	0.000624044402977029	0.06924588196771098	3	1	adam	reduceonplateau	2	928	1	1088	61	True	5.264506235946747e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693822524/version_0	2	304	6	2	0.05034293679508311	True	128	128	100	61	4698100	4	TransformerEncoder	39		min	0.000624044402977029	1	0.3333333333333333	0	5	loss	0.7005452523300195	4	4	531	1640.8642754554749	1693824171.8783154	1197	5.264506235946747e-05	0.5175088047981262	0.40319839119911194	11703	0.8659999966621399	summer-sweep-220
3	transformer	0.9207703221722694	0.9976412060534684		0.5627659227704859	0.000920554386092075	0.3605029201846203	3	1	adam	reduceonplateau	2	1376	1	64	61	True	0.00019395307800800765	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693822052/version_0	4	48	4	8	0.11747852090545492	True	128	128	100	61	1635000	3	TransformerEncoder	39		min	0.000920554386092075	1	0.3333333333333333	0	5	loss	0.5627659227704859	4	3	799	1701.2482888698578	1693823761.691058	1800	0.00019395307800800765	1.1711606979370115	1.1181495189666748	23999	0.7279999852180481	scarlet-sweep-219
4	transformer	0.9752876551581604	0.9828241618353284		0.2919891217862174	0.0005181333211149562	0.3046603074359702	3	1	adam	reduceonplateau	2	1456	1	1664	61	True	1.3498189315359693e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693821414/version_0	2	416	2	4	0.18799126589776735	True	128	128	100	61	1426000	4	TransformerEncoder	39		min	0.0005181333211149562	1	0.3333333333333333	0	5	loss	0.2919891217862174	4	4	799	2747.3115463256836	1693824171.4212904	1800	1.3498189315359693e-05	1.404713749885559	1.286221623420715	22399	0.8629999756813049	stellar-sweep-218
5	transformer	0.9137494943921736	0.9973616661240564		0.3627550763463757	0.0006196719853040488	0.40416109090355873	3	1	adam	warmupinvsqrt	2	880	1	1216	61	True	6.673668079023555e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693820816/version_0	4	288	2	4	0.14799482034296663	True	128	128	100	61	473900	3	TransformerEncoder	39		min	0.0006196719853040488	1	0.3333333333333333	1077	5	loss	0.3627550763463757	4	3	799	3485.9147584438324	1693824310.6417744	1800	1.61560484466839e-06	1.7466669082641602	1.459663152694702	18399	0.4410000145435333	happy-sweep-217
6	transformer	0.8298396136603321	0.988578591298498		0.3163454066191436	0.0001810292531497975	0.13095743807959492	3	1	adam	warmupinvsqrt	2	1696	1	1408	61	True	0.001872130687100327	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693820326/version_0	6	272	4	2	0.1739015069570271	True	128	128	100	61	4925000	4	TransformerEncoder	39		min	0.0001810292531497975	1	0.3333333333333333	11615	5	loss	0.3163454066191436	4	4	783	3378.9282805919647	1693823714.9868357	1764	0.001471835478205497	1.272557258605957	1.1613799333572388	18815	0.8740000128746033	snowy-sweep-216
7	transformer	0.8041599104327537	0.9801380571616846		0.6384354666773941	0.0002338356856020465	0.34699667765176884	3	1	adam	None	2	1488	1	640	61	True	0.0004427413254495157	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693819333/version_0	8	464	8	2	0.11392036274634586	True	128	128	100	61	744800	4	TransformerEncoder	39		min	0.0002338356856020465	1	0.3333333333333333	0	5	loss	0.6384354666773941	4	4	443	3571.4408509731293	1693822913.435185	999	0.0004427413254495157	0.985741913318634	0.8261033892631531	9323	0.8790000081062317	eager-sweep-215
8	transformer	0.8709164237360556	0.9884442256366331		0.5146476714447702	2.225810451994345e-06	0.16325263793772038	3	1	adam	reduceonplateau	2	400	1	1152	61	True	4.8633602992131446e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693819250/version_0	6	144	8	4	0.1068675527170784	True	128	128	100	61	2265800	2	TransformerEncoder	39		min	2.225810451994345e-06	1	0.3333333333333333	0	5	loss	0.5146476714447702	4	2	399	1539.1567494869232	1693820801.4737334	900	2.225810451994345e-06	0.9054490327835084	0.8122471570968628	9999	0.8529999852180481	revived-sweep-214
9	transformer	0.8794726909244764	0.9920603233770032		0.3807687148659288	8.019074832450047e-05	0.4318860362796614	3	1	adam	None	2	1856	1	1728	61	True	0.0001871346151754992	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693817598/version_0	8	208	2	4	0.12981794154683798	True	128	128	100	61	2948100	3	TransformerEncoder	39		min	8.019074832450047e-05	1	0.3333333333333333	0	5	loss	0.3807687148659288	4	3	619	2710.6923649311066	1693820316.532691	1395	0.0001871346151754992	1.045145869255066	0.9253506064414978	13639	0.8790000081062317	classic-sweep-213
